;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;
mLkNN;0,0275±0,0003;0,0277±0,0005;0,0275±0,0003;0,0277±0,0004;0,0277±0,0004;0,0277±0,0003;0,0277±0,0004;0,0277±0,0003;0,0277±0,0003;0,0277±0,0004;0,0277±0,0004;0,0278±0,0004;0,0277±0,0003;0,0279±0,0004;0,0277±0,0003;0,0277±0,0003;0,0277±0,0004;0,0276±0,0003;0,0279±0,0005;0,0278±0,0004;
bRkNN;0,0273±0,0002;0,0275±0,0003;0,0276±0,0003;0,0276±0,0003;0,0276±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;
bRkNN_a;0,0374±0,0004;0,0375±0,0004;0,0377±0,0003;0,0377±0,0003;0,0377±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;
bRkNN_b;0,0374±0,0004;0,0375±0,0004;0,0377±0,0003;0,0377±0,0003;0,0377±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;
mlmut;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;0,0273±0,0002;
mlmut_a;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;
mlmut_b;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;0,0374±0,0004;
mlnotmut;0,0478±0,0011;0,0275±0,0003;0,0275±0,0003;0,0275±0,0003;0,0275±0,0003;0,0276±0,0003;0,0275±0,0003;0,0276±0,0003;0,0276±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;0,0277±0,0003;
mlnotmut_a;0,0478±0,0011;0,0471±0,0010;0,0463±0,0008;0,0468±0,0008;0,0461±0,0015;0,0462±0,0016;0,0462±0,0016;0,0462±0,0016;0,0462±0,0016;0,0462±0,0015;0,0462±0,0015;0,0439±0,0005;0,0445±0,0009;0,0462±0,0015;0,0462±0,0015;0,0462±0,0015;0,0462±0,0015;0,0462±0,0015;0,0462±0,0016;0,0462±0,0016;
mlnotmut_b;0,0478±0,0011;0,0472±0,0009;0,0464±0,0005;0,0464±0,0009;0,0461±0,0015;0,0461±0,0015;0,0462±0,0016;0,0462±0,0016;0,0462±0,0016;0,0461±0,0014;0,0461±0,0014;0,0441±0,0011;0,0443±0,0011;0,0461±0,0014;0,0461±0,0015;0,0461±0,0014;0,0461±0,0014;0,0461±0,0014;0,0462±0,0015;0,0462±0,0015;
